payment_id,policy_id,payment_date,payment_amount,payment_type
159,410,2022-10-19,496.14,Refund
160,131,2020-10-04,1048.94,Premium
161,855,2023-12-06,1083.47,Claim Payout
162,148,2022-11-17,1309.95,Premium
163,381,2021-03-18,1623.59,Refund
164,1133,2020-01-06,522.36,Premium
165,552,2020-07-16,981.63,Premium
166,1145,2024-04-29,903.28,Premium
167,295,2024-11-29,1151.81,Premium
168,1144,2024-09-14,1075.48,Premium
169,456,2021-11-12,876.61,Premium
170,169,2024-08-22,845.68,Refund
171,710,2025-07-12,609.24,Premium
172,1167,2024-03-31,1345.75,Premium
173,37,2023-12-09,1160.72,Premium
174,231,2024-03-17,1321.22,Claim Payout
175,254,2021-02-19,891.36,Refund
176,329,2025-05-17,770.11,Refund
177,980,2022-07-12,622.59,Premium
178,10,2021-10-28,1125.62,Premium
179,446,2025-01-22,636.07,Premium
180,922,2020-10-28,1647.03,Premium
181,836,2020-05-16,542.33,Premium
182,78,2023-04-22,1095.78,Premium
183,193,2020-03-23,1548.4,Premium
184,401,2023-07-29,1209.68,Premium
185,109,2022-12-05,1061.49,Premium
186,792,2021-03-04,661.03,Claim Payout
187,263,2020-10-30,516.38,Premium
188,329,2023-11-01,1269.52,Refund
189,363,2021-11-27,1527.15,Premium
190,259,2024-03-17,846.4,Premium
191,85,2021-10-21,601.33,Premium
192,308,2020-11-03,139.64,Refund
193,262,2021-01-16,656.73,Premium
194,797,2023-10-16,960.22,Claim Payout
195,631,2025-05-31,1559.69,Premium
196,680,2020-05-06,1235.6,Premium
197,865,2024-11-01,1106.78,Premium
198,324,2021-11-06,859.96,Premium
199,925,2024-11-13,795.89,Refund
200,727,2021-10-05,1491.98,Premium
201,978,2020-08-07,1070.26,Premium
202,217,2021-02-18,264.09,Refund
203,448,2023-09-18,764.26,Claim Payout
204,319,2022-04-21,699.62,Premium
205,994,2022-02-17,808.81,Refund
206,37,2024-08-03,1197.02,Premium
207,731,2022-12-22,962.39,Refund
208,1011,2023-02-27,973.1,Premium
209,1058,2023-05-03,1459.72,Premium
210,39,2022-08-30,756.24,Premium
211,209,2021-01-27,1652.47,Premium
212,830,2020-07-22,765.04,Premium
213,856,2024-05-28,1031.22,Premium
214,1176,2025-07-03,901.58,Premium
215,899,2021-09-21,1043.2,Claim Payout
216,601,2020-08-11,1155.61,Premium
217,760,2024-01-17,1151.84,Premium
218,1103,2020-01-16,736.41,Premium
219,434,2024-10-17,606.98,Claim Payout
220,842,2020-12-24,1876.11,Premium
221,32,2023-04-21,830.61,Premium
222,1111,2025-05-21,1244.72,Premium
223,393,2022-03-28,437.33,Premium
224,910,2021-02-01,902.14,Premium
225,192,2020-04-15,955.48,Premium
226,270,2022-04-27,1165.49,Premium
227,738,2021-11-30,47.14,Premium
228,77,2023-04-10,1058.15,Premium
229,735,2020-12-01,597.59,Premium
230,884,2025-04-23,1113.52,Premium
231,1191,2021-04-18,637.28,Claim Payout
232,284,2023-06-17,700.58,Claim Payout
233,1113,2024-06-16,904.23,Premium
234,544,2025-04-12,631.68,Premium
235,649,2025-06-26,833.56,Premium
236,1180,2022-12-21,582.32,Premium
237,250,2021-01-08,358.39,Premium
238,95,2024-05-06,1356.28,Premium
239,17,2022-01-27,546.38,Claim Payout
240,117,2024-02-28,937.46,Claim Payout
241,983,2024-04-11,1263.51,Premium
242,333,2024-02-22,784.77,Premium
243,1104,2022-02-03,711.19,Claim Payout
244,646,2024-12-30,1079.18,Claim Payout
245,116,2020-07-01,1391.28,Claim Payout
246,963,2022-12-14,590.74,Premium
247,1193,2024-12-06,947.45,Premium
248,847,2025-03-19,393.63,Premium
249,316,2022-12-14,862.38,Premium
250,810,2022-07-15,1011.97,Premium
251,372,2023-01-05,700.88,Premium
252,760,2020-09-09,840.05,Claim Payout
253,877,2021-09-11,507.12,Claim Payout
254,977,2021-01-31,1026.98,Premium
255,156,2020-12-17,1369.49,Claim Payout
256,614,2023-11-09,616.0,Premium
257,1037,2024-08-22,782.06,Refund
258,508,2022-07-20,1175.89,Premium
259,465,2020-09-06,1424.23,Premium
260,783,2024-05-04,477.38,Premium
261,804,2025-11-10,940.93,Premium
262,220,2024-09-10,1099.1,Premium
263,15,2025-04-28,964.28,Premium
264,117,2022-08-23,133.12,Claim Payout
265,331,2025-05-04,1175.38,Premium
266,56,2023-05-09,1531.77,Premium
267,1156,2020-11-19,1040.83,Premium
268,308,2024-06-05,639.11,Premium
269,222,2020-05-22,820.41,Premium
270,1197,2025-08-18,1619.47,Refund
271,797,2025-10-17,1318.49,Premium
272,1181,2021-08-26,1224.01,Premium
273,151,2021-05-07,1124.74,Premium
274,112,2025-01-13,768.6,Premium
275,683,2021-12-09,929.8,Premium
276,1162,2021-11-15,972.73,Claim Payout
277,332,2022-05-17,1192.35,Premium
278,893,2022-02-28,1528.12,Premium
279,161,2021-05-31,1391.42,Claim Payout
280,278,2020-06-23,503.22,Premium
281,897,2024-09-30,1078.4,Premium
282,497,2020-11-16,1257.87,Claim Payout
283,655,2024-11-18,1216.6,Premium
284,1060,2022-04-07,779.77,Premium
285,303,2021-08-28,2019.94,Claim Payout
286,438,2022-11-22,553.02,Claim Payout
287,726,2023-08-02,620.88,Premium
288,1056,2020-10-01,1081.76,Premium
289,186,2020-12-22,1740.88,Refund
290,1198,2024-05-08,707.33,Premium
291,673,2024-06-15,906.96,Premium
292,1001,2023-08-28,1377.05,Premium
293,279,2023-02-05,993.75,Premium
294,683,2025-10-29,882.89,Claim Payout
295,1026,2025-02-19,1197.97,Claim Payout
296,1190,2020-02-20,1095.38,Claim Payout
297,1011,2025-11-10,1360.65,Claim Payout
298,925,2024-09-14,1452.01,Premium
299,1134,2021-04-05,1107.45,Premium
300,380,2024-08-24,1102.11,Refund
301,835,2021-09-04,1074.94,Premium
302,999,2021-08-30,1171.2,Premium
303,285,2021-02-14,1019.31,Premium
304,421,2021-03-08,999.79,Claim Payout
305,113,2021-02-17,1418.82,Premium
306,1018,2023-03-17,1530.64,Premium
307,228,2023-11-09,472.36,Premium
308,528,2024-08-10,1003.51,Premium
309,496,2022-12-17,758.96,Premium
310,31,2024-04-17,891.16,Refund
311,162,2025-06-11,1140.88,Premium
312,705,2025-04-21,1234.3,Premium
313,722,2020-06-02,960.76,Premium
314,446,2021-12-06,330.33,Premium
315,744,2023-02-02,662.23,Claim Payout
316,427,2024-07-08,1313.77,Refund
317,504,2021-08-12,40.85,Claim Payout
318,721,2024-07-03,1415.6,Premium
319,684,2020-06-07,1182.43,Premium
320,582,2024-06-09,1460.66,Premium
321,1058,2023-09-19,930.5,Premium
322,736,2022-08-31,278.51,Refund
323,691,2020-07-20,1150.63,Premium
324,758,2025-04-30,1446.13,Claim Payout
325,754,2023-01-05,1323.65,Premium
326,24,2024-03-05,768.06,Premium
327,55,2020-03-23,1030.37,Premium
328,1050,2023-10-15,813.51,Premium
329,804,2023-05-26,713.26,Premium
330,327,2023-06-27,1334.39,Premium
331,970,2023-02-22,580.86,Premium
332,186,2025-07-06,687.16,Premium
333,495,2021-02-06,613.59,Premium
334,1036,2022-07-22,478.41,Premium
335,434,2021-07-04,1051.25,Premium
336,208,2023-05-15,1406.53,Premium
337,133,2024-12-19,935.29,Premium
338,369,2023-08-07,472.99,Premium
339,1127,2023-01-08,1293.98,Premium
340,423,2024-09-03,1590.0,Premium
341,1033,2020-12-31,773.82,Premium
342,244,2022-02-08,832.51,Premium
343,782,2024-12-14,1180.48,Premium
344,624,2022-05-15,1567.66,Refund
345,567,2024-07-25,818.06,Premium
346,527,2025-06-07,533.64,Premium
347,37,2025-10-16,1221.0,Refund
348,178,2024-03-11,1279.67,Premium
349,639,2020-08-18,1002.15,Premium
350,852,2025-10-11,804.65,Premium
351,72,2021-10-13,1348.03,Premium
352,352,2020-09-25,1184.81,Refund
353,623,2023-06-28,731.05,Premium
354,1173,2025-09-06,1017.18,Premium
355,105,2024-07-10,526.9,Premium
356,221,2021-07-09,1240.06,Premium
357,863,2025-11-17,908.22,Premium
358,518,2020-04-28,847.5,Premium
359,299,2021-12-12,988.49,Refund
360,861,2022-02-28,1014.11,Refund
361,42,2022-04-02,1313.23,Premium
362,771,2020-08-24,1206.88,Claim Payout
363,897,2022-10-18,945.26,Premium
364,492,2020-05-15,1267.28,Premium
365,1071,2025-02-12,1140.26,Refund
366,85,2020-07-26,850.69,Premium
367,1082,2024-01-16,956.35,Premium
368,991,2022-03-26,948.12,Premium
369,711,2023-01-27,1176.84,Premium
370,209,2024-02-17,871.54,Claim Payout
371,39,2025-03-16,863.36,Premium
372,926,2025-08-30,1689.07,Premium
373,762,2024-06-13,1328.91,Premium
374,946,2021-05-22,733.79,Refund
375,52,2020-05-05,1199.83,Premium
376,374,2022-09-17,1041.42,Premium
377,931,2024-03-05,1137.04,Premium
378,156,2025-06-25,1048.07,Premium
379,1114,2025-01-01,1416.37,Premium
380,679,2021-12-28,1120.97,Premium
381,351,2025-04-27,978.27,Premium
382,69,2023-12-03,1364.77,Premium
383,1187,2023-11-11,1081.65,Premium
384,1076,2021-10-31,1042.52,Premium
385,654,2022-11-25,1109.91,Premium
386,63,2021-01-05,967.24,Premium
387,509,2023-03-13,1003.23,Premium
388,292,2020-04-22,794.66,Premium
389,1115,2024-05-02,737.09,Refund
390,821,2020-07-22,650.5,Premium
391,150,2021-10-29,512.81,Premium
392,881,2022-05-27,692.1,Claim Payout
393,1140,2022-06-25,939.01,Premium
394,704,2022-07-11,1036.09,Premium
395,516,2022-04-26,905.05,Refund
396,30,2023-01-07,175.5,Premium
397,1167,2024-08-04,1551.11,Premium
398,326,2025-10-03,1380.27,Premium
399,949,2020-03-23,1156.02,Premium
400,16,2020-02-06,1667.62,Claim Payout
401,111,2025-04-25,657.92,Premium
402,872,2021-06-25,1660.67,Premium
403,713,2021-12-10,662.18,Claim Payout
404,107,2020-02-04,1083.56,Claim Payout
405,379,2022-07-05,554.16,Premium
406,162,2022-10-30,1005.14,Premium
407,283,2023-06-05,1135.16,Premium
408,269,2023-02-01,945.86,Refund
409,484,2024-10-01,1249.86,Premium
410,667,2024-03-22,1034.66,Premium
411,1097,2023-11-29,817.15,Premium
412,598,2025-02-23,801.62,Premium
413,799,2022-10-29,1283.82,Premium
414,798,2022-06-12,771.19,Premium
415,1173,2025-03-26,1320.39,Premium
416,390,2023-05-22,1427.95,Premium
417,416,2025-11-02,415.95,Premium
418,426,2024-06-14,1396.52,Premium
419,997,2021-02-23,1721.15,Premium
420,867,2020-01-31,1088.2,Refund
421,86,2025-09-26,1209.68,Premium
422,423,2024-03-12,1362.95,Premium
423,118,2023-03-03,903.58,Premium
424,959,2023-05-07,1063.8,Premium
425,882,2021-03-18,540.03,Premium
426,992,2025-05-27,1048.52,Premium
427,415,2020-09-18,1174.34,Premium
428,599,2023-10-09,1180.66,Premium
429,40,2023-02-06,1372.9,Premium
430,1185,2023-08-24,728.82,Premium
431,703,2023-02-08,813.59,Refund
432,537,2022-12-05,1663.43,Premium
433,420,2023-05-08,947.39,Premium
434,664,2022-02-10,1070.01,Premium
435,95,2021-09-06,976.55,Premium
436,973,2025-10-19,712.41,Claim Payout
437,650,2022-09-11,1568.24,Claim Payout
438,288,2020-08-20,815.3,Premium
439,412,2024-07-13,605.45,Premium
440,400,2023-08-02,842.24,Premium
441,528,2021-07-27,299.4,Claim Payout
442,1042,2020-04-14,772.05,Premium
443,136,2025-07-30,661.15,Premium
444,759,2023-04-25,1216.1,Premium
445,843,2022-11-28,764.31,Premium
446,710,2024-09-10,1310.73,Premium
447,1025,2024-07-15,1489.47,Premium
448,381,2024-05-09,1273.41,Premium
449,509,2020-05-24,924.61,Premium
450,806,2022-02-16,1049.39,Claim Payout
451,476,2023-11-06,466.26,Refund
452,954,2022-06-29,953.18,Refund
453,849,2025-12-29,698.85,Premium
454,897,2025-05-02,1243.01,Refund
455,32,2024-01-08,1900.46,Premium
456,118,2025-09-08,1174.94,Premium
457,191,2023-05-14,303.1,Premium
458,74,2021-11-27,873.57,Premium
459,623,2022-01-11,1042.87,Premium
460,1127,2023-04-18,1030.58,Claim Payout
461,871,2021-02-03,744.22,Premium
462,586,2025-04-12,1085.85,Premium
463,420,2021-06-08,565.12,Premium
464,473,2022-11-25,669.28,Premium
465,114,2022-01-19,1226.03,Premium
466,330,2023-10-06,644.52,Premium
467,339,2020-12-31,1188.37,Refund
468,238,2022-06-29,520.69,Premium
469,1197,2023-12-26,1617.69,Premium
470,79,2022-07-03,729.01,Premium
471,464,2023-06-11,921.72,Claim Payout
472,605,2024-09-18,1115.71,Refund
473,562,2023-09-19,802.13,Premium
474,285,2024-03-02,1050.19,Premium
475,223,2022-12-03,1201.37,Premium
476,593,2023-04-19,1336.21,Refund
477,373,2025-03-14,1277.02,Claim Payout
478,911,2021-04-27,939.87,Premium
479,828,2025-04-11,948.68,Premium
480,236,2020-08-07,1822.19,Refund
481,671,2020-10-18,1332.46,Premium
482,828,2025-04-18,677.36,Premium
483,763,2022-03-07,1035.0,Premium
484,380,2025-08-11,882.7,Premium
485,794,2021-05-05,952.63,Claim Payout
486,614,2024-04-12,569.68,Premium
487,563,2025-12-10,855.83,Premium
488,420,2023-05-07,1634.04,Premium
489,52,2024-08-19,1202.68,Premium
490,819,2020-08-09,128.09,Premium
491,205,2021-09-09,1425.85,Premium
492,1001,2021-07-16,1381.37,Premium
493,731,2022-03-31,874.25,Premium
494,257,2023-11-04,1251.04,Premium
495,185,2024-08-03,699.21,Premium
496,145,2025-02-17,835.41,Premium
497,1038,2021-08-09,1524.49,Claim Payout
498,246,2023-07-19,904.89,Premium
499,187,2022-01-08,345.59,Refund
500,866,2020-11-27,977.84,Premium
501,40,2025-06-20,972.49,Refund
502,601,2023-09-24,1419.43,Refund
503,962,2021-12-25,1005.02,Premium
504,986,2023-07-07,852.45,Claim Payout
505,9,2020-08-25,1365.77,Claim Payout
506,350,2020-01-20,1042.28,Premium
507,84,2025-01-25,737.49,Premium
508,533,2023-01-25,1404.25,Premium
509,989,2022-05-07,1067.78,Refund
510,358,2021-11-21,1001.02,Premium
511,378,2021-10-10,1062.27,Premium
512,172,2025-06-28,625.27,Premium
513,1049,2020-12-26,815.32,Premium
514,393,2021-06-14,1001.25,Premium
515,1127,2024-11-11,931.87,Premium
516,702,2024-10-24,1445.35,Premium
517,549,2024-07-10,1076.09,Premium
518,784,2024-10-23,1299.22,Premium
519,332,2025-05-09,1003.29,Premium
520,794,2024-04-19,1369.7,Premium
521,649,2020-01-20,1139.13,Premium
522,983,2020-06-03,1004.7,Premium
523,1053,2025-12-26,995.35,Premium
524,543,2022-03-27,665.95,Premium
525,1043,2024-03-08,1177.42,Premium
526,1172,2020-02-27,985.93,Premium
527,491,2023-08-12,824.3,Claim Payout
528,283,2025-12-15,1387.26,Premium
529,862,2022-02-19,562.42,Claim Payout
530,113,2020-03-14,852.13,Refund
531,862,2020-01-17,1359.7,Premium
532,610,2022-10-16,1110.43,Premium
533,508,2022-07-15,983.25,Premium
534,466,2023-11-11,1087.85,Premium
535,824,2023-07-02,1062.79,Premium
536,609,2021-06-12,469.17,Refund
537,1122,2021-02-24,877.76,Premium
538,290,2024-04-20,1565.78,Refund
539,868,2025-08-23,769.24,Premium
540,1180,2023-06-07,888.59,Claim Payout
541,782,2021-11-15,810.43,Premium
542,162,2020-09-24,969.54,Premium
543,624,2020-07-06,795.91,Premium
544,717,2023-05-06,1170.36,Premium
545,1121,2023-04-06,1069.06,Premium
546,567,2025-02-10,1270.74,Claim Payout
547,994,2025-11-01,632.17,Premium
548,1141,2025-11-16,880.88,Claim Payout
549,596,2023-10-15,921.0,Premium
550,959,2024-11-11,1159.48,Refund
551,1013,2021-07-02,722.37,Premium
552,475,2023-11-04,1320.48,Premium
553,618,2025-06-30,1415.25,Claim Payout
554,641,2024-01-11,653.89,Premium
555,262,2022-02-10,828.19,Premium
556,162,2021-11-06,813.82,Premium
557,181,2024-07-10,1921.34,Premium
558,725,2020-03-19,849.53,Premium
559,469,2022-07-24,1587.17,Premium
560,21,2022-07-07,556.68,Premium
561,260,2021-06-21,653.62,Premium
562,466,2022-05-15,759.69,Premium
563,1140,2020-03-30,704.01,Premium
564,537,2025-08-28,906.24,Premium
565,952,2021-11-23,751.93,Claim Payout
566,766,2021-05-19,713.23,Refund
567,959,2024-02-10,1405.47,Premium
568,934,2020-06-02,1428.33,Claim Payout
569,851,2024-03-16,1332.25,Premium
570,1192,2022-11-13,1183.4,Premium
571,533,2025-12-30,1032.46,Premium
572,15,2020-07-18,826.04,Premium
573,50,2020-07-15,666.39,Premium
574,999,2021-03-18,1127.05,Premium
575,304,2020-03-21,589.23,Premium
576,416,2020-07-16,652.13,Premium
577,305,2021-04-19,1403.52,Premium
578,196,2024-09-03,1665.23,Premium
579,813,2024-12-24,1137.65,Premium
580,800,2024-04-06,1387.26,Premium
581,388,2021-05-21,913.95,Premium
582,757,2022-11-01,531.81,Premium
583,455,2025-04-27,1214.26,Premium
584,713,2021-09-19,1199.25,Claim Payout
585,705,2022-04-21,1025.08,Claim Payout
586,848,2020-02-08,915.17,Premium
587,1151,2023-05-18,1336.77,Premium
588,175,2024-09-19,654.99,Premium
589,1158,2021-02-17,729.18,Claim Payout
590,1090,2025-11-01,647.16,Premium
591,279,2023-01-10,1029.74,Premium
592,758,2021-07-15,619.24,Premium
593,363,2024-09-11,760.52,Premium
594,171,2021-03-05,752.99,Premium
595,1075,2025-09-26,908.79,Premium
596,665,2021-04-27,479.42,Premium
597,592,2023-03-03,1030.52,Premium
598,931,2021-04-11,1436.56,Premium
599,1169,2021-03-11,1047.42,Premium
600,274,2025-07-31,1539.46,Premium
601,1179,2022-03-24,1466.9,Refund
602,508,2022-03-29,1272.21,Premium
603,363,2022-12-13,1026.14,Premium
604,848,2025-11-12,1007.88,Premium
605,655,2022-04-06,1267.33,Premium
606,298,2024-01-06,862.92,Premium
607,494,2024-08-05,341.12,Premium
608,546,2023-04-24,1172.2,Premium
609,304,2021-10-18,604.13,Premium
610,904,2020-06-10,663.25,Premium
611,239,2025-07-26,1000.08,Premium
612,650,2022-04-30,966.71,Premium
613,884,2025-05-22,505.77,Premium
614,1200,2023-09-16,1057.92,Premium
615,410,2022-08-18,1338.15,Premium
616,726,2020-01-12,605.08,Premium
617,1047,2020-02-22,1445.37,Premium
618,318,2020-12-30,453.94,Premium
619,525,2021-03-28,1741.06,Claim Payout
620,905,2025-07-16,856.06,Claim Payout
621,1024,2021-09-02,1050.97,Premium
622,620,2021-01-03,337.79,Premium
623,953,2025-09-26,978.25,Premium
624,1132,2020-11-03,1079.97,Premium
625,801,2021-02-18,969.84,Refund
626,916,2022-11-14,802.92,Premium
627,1200,2022-08-04,668.7,Claim Payout
628,320,2025-02-13,1395.68,Premium
629,876,2023-04-27,1010.78,Premium
630,329,2022-12-17,1539.26,Refund
631,753,2025-03-16,815.73,Premium
632,657,2020-07-24,847.82,Claim Payout
633,1038,2021-02-12,1285.46,Premium
634,71,2021-12-16,431.96,Premium
635,827,2020-06-10,575.29,Premium
636,865,2023-04-05,1384.12,Premium
637,928,2024-01-15,589.82,Premium
638,106,2023-07-04,363.33,Premium
639,770,2024-10-10,1653.98,Premium
640,893,2021-04-19,512.16,Premium
641,196,2021-01-24,1064.44,Premium
642,145,2020-07-06,1024.18,Premium
643,471,2020-02-09,16.28,Claim Payout
644,216,2021-07-20,906.44,Premium
645,1117,2021-11-29,1156.94,Premium
646,260,2023-09-08,1124.01,Claim Payout
647,934,2024-01-04,1316.23,Claim Payout
648,575,2024-11-27,864.38,Premium
649,285,2023-01-03,1249.38,Refund
650,484,2021-01-15,758.73,Premium
651,372,2024-03-06,506.34,Premium
652,70,2023-11-04,545.8,Premium
653,379,2022-01-19,488.26,Premium
654,302,2021-04-11,1353.36,Refund
655,255,2024-06-29,469.9,Premium
656,944,2024-06-27,1095.91,Claim Payout
657,692,2025-02-12,906.93,Premium
658,834,2023-01-18,964.07,Premium
659,717,2024-04-28,1477.26,Premium
660,424,2025-05-12,846.55,Claim Payout
661,213,2024-09-23,1214.06,Premium
662,100,2021-11-14,1013.15,Refund
663,1136,2021-04-08,946.79,Claim Payout
664,308,2021-06-26,1804.99,Premium
665,678,2020-08-28,495.53,Premium
666,475,2021-10-14,1451.2,Claim Payout
667,112,2021-02-28,1229.74,Claim Payout
668,1111,2024-08-31,832.17,Premium
669,183,2025-05-31,1570.26,Premium
670,597,2024-11-29,353.16,Premium
671,165,2022-01-12,817.38,Premium
672,815,2024-04-04,577.03,Premium
673,90,2024-01-08,1144.23,Premium
674,455,2020-04-28,610.43,Premium
675,238,2021-06-19,1151.57,Premium
676,534,2025-06-01,934.75,Premium
677,727,2025-06-22,832.23,Premium
678,58,2021-04-07,1136.03,Premium
679,542,2024-08-11,905.98,Premium
680,1022,2024-12-10,618.98,Premium
681,618,2020-07-07,1980.48,Premium
682,402,2020-09-16,829.49,Premium
683,1006,2022-12-07,223.84,Premium
684,842,2023-07-11,705.27,Refund
685,839,2020-02-20,556.45,Premium
686,519,2025-11-19,1289.15,Premium
687,197,2022-07-06,1112.58,Premium
688,46,2023-10-17,1139.55,Premium
689,530,2025-10-27,870.49,Claim Payout
690,1000,2025-11-12,902.23,Premium
691,776,2021-01-25,870.17,Premium
692,74,2024-11-07,971.58,Premium
693,335,2022-10-15,1292.37,Premium
694,633,2025-05-27,1117.63,Premium
